Source,Type,Item,Location,Category,Subcategory,Subcategory2,Dimension,Dimension 2,Check Blanks
CDC-C4S,Actions,"Gatherings, Visitors, and Field Trips: Limit any nonessential visitors, volunteers, and activities involving external groups or organizations as possible – especially with individuals who are not from the local geographic area (e.g., community, town, city, county).",GVaFT2,Health & Safety / Operations,Visitor Protocols,,,,0
San Diego COE,Actions,Schools are advised to find methods to provide educational support for students who are excluded from school due to level 3 travel health notices to prevent them from falling behind.,1-A,Health & Safety / Operations,Blended Learning,,,,0
San Diego COE,Actions,Student and staff health information is confidential and shall not be shared with other students or with school site staff. Information will be shared only to the extent required and limited to those who have a legitimate educational interest in the information.,1-A,Health & Safety / Operations,Attendance?,,Policy / Governance / Liability,,0
CCSESA,Actions,Collaboration with bargaining units in the development of memorandum of understandings (MOU) to address changes in the work environment as a result of COVID-19 can help explore and resolve areas needing attention.,3k,Health & Safety / Operations,,,HR / Bargaining Units,,1
CCSESA,Actions,County offices can also help district Human Resources and/or administrative staff collaborate on how they will track and report each staff category that can be used to help determine when school can reopen and the timeline and staffing threshold for reopening.,3l,Health & Safety / Operations,,,HR / Bargaining Units,,1
San Diego COE,Actions,Consider Using screens or barriers to maintain 6-feet between employees and visitors when in-person meetings are necessary,1-H,Health & Safety / Operations,Gatherings,,,,0
CDC-C4S,Actions,"Consistent with applicable law, put in place policies to protect the privacy of people at higher risk for severe illness regarding underlying medical conditions.",PfS,Health & Safety / Operations,,,Policy / Governance / Liability,,1
San Diego COE,Actions,Describe the triggering criteria that will be used to cancel professional development activities and/or travel.,1-H,Health & Safety / Operations,,,Policy / Governance / Liability,,1
Kern COE,Actions,Designate a staff person to be responsible for responding to COVID-19 concerns. Employees should know who this person is and how to contact them.,1,Health & Safety / Operations,,,Communication,,1
San Diego COE,Actions,Develop and distribute guidance for employees on summarizing leave options and if working remotely is an option.,1-B,Health & Safety / Operations,Blended Learning,,HR / Bargaining Units,,0
San Diego COE,Actions,"Develop and distribute guidance for employees, approved volunteers and contracted providers on self-screening using the same exclusion criteria developed for students.",1-B,Health & Safety / Operations,School Entry / Exit Protocols,,Policy / Governance / Liability,,0
San Diego COE,Actions,"Develop and distribute guidance for supervisors describing appropriate responses for when they have concerns about a volunteer, contracted provider or employee who is displaying respiratory symptoms.

Include guidance on employees who resist leaving work.",1-B,Health & Safety / Operations,Attendance,,HR / Bargaining Units,Policy / Governance / Liability,0
San Diego COE,Actions,Develop and distribute guidance for supervisors to support item 6.,1-B,Health & Safety / Operations,,,Professional Development,,1
Monterey COE,Actions,Teachers and staff with any fever and/or respiratory infection symptoms should not come to work.,Phase II,Health & Safety / Operations,,,,,1
LACOE,Actions,"General Use: Identify what space is available and is appropriate for school reopening and match it to LEA’s operational plan (rotation of classes, rotation of days, face to face, hybrid, etc.)",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Convert secondary schools to have more self contained classrooms and prioritize which cohorts of staﬀ and students return to the school site on which days (also refer to Human Resources considerations for more information relating to creating cohorts of staﬀ and staggered schedules),Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Consider if desks and large objects need to be converted for younger students,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Establish one point of ingress into the school that may also facilitate LEA’s determined health check option,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Designate entry and exit doors whenever possible, not both, to limit people encounters",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Designate foot traﬃc patterns such as one-way hallways to limit students passing each other,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Schedule restroom use and maintain separate classrooms or student groups,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Schedule hand-washing protocols and a hardline schedule for when to wash,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Retrain on use and disposal of personal protective equipment (PPE),Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Identify how many people can use vertical transportation (elevators) and communicate determination to staﬀ, students and visitors",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Designate one-way staircases to limit people encounters,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Install markings on ﬂoor to illustrate social/ physical distancing, foot traﬃc arrows, one-way traﬃc, elevator capacity, etc.",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Install counter shields as appropriate,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Prohibit shared use of small spaces,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Procure or lease additional buildings or structures to expand classrooms or storage spaces while following plan review and approval process through the appropriate state agency; buildings may include emergency portables (bungalows), shade structures, etc.",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Procure or lease cargo containers to store extra furniture and materials from existing classrooms which need space to accommodate physical distancing guidelines,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Seek approval for installation of outdoor tents,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Defer opening of spaces that encourage gathering of large groups of people (i.e. swimming pools, locker rooms, etc.)",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Consider storing extra furniture and classroom materials in spaces that cannot be used for groups (i.e. locker room),Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"General Use: Explore space availability with partner agencies to store extra furniture, ﬁxtures, and equipment",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Designate an isolation room to separate staﬀ and students suspected of being sick,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,General Use: Defer use of playgrounds and play structures or use in staggered shi\s with cleaning and disinfecting between groups,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Communicate with staﬀ, parents and students on operational plan and impact on facilities",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Track costs for physical rotation of spaces,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Installation of emergency classrooms, portables or other temporary structures",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Teacher concerns regarding emergency classrooms, portables or other shade structure as a work space",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Seek funding for emergency facilities through the Oﬃce of Public School Construction and State Allocation Board,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Seek expedited plan review and approval for emergency facilities through the Division of State Architect,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Identify and encourage use of available outdoor space as classrooms, weather permitting; increase quantity as feasible",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Explore allowable occupancy per social/physical distancing guideline for classrooms, oﬃces and all spaces; a typical 960 square foot classroom ﬁts a teacher and 16 students when perimeter walls do not have obstructions, and 12 students when furniture and materials align along perimeter walls",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Place seats 6 feet apart,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Install ﬂoor markings to illustrate social/physical distancing,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Remove extra chairs and tables/desks not expected to be used in classrooms, oﬃces, meeting rooms, cafeteria, break room, etc.",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Support staﬀ on mindset adjustments and classroom ownership while furniture and materials are placed in storage to maximize social/physical distancing,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Label, remove and store unused furniture and equipment as well as infrequently used classroom materials in another part of campus where social/ physical distancing is not impacted",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Consider spacing students out with benches to maintain 6-\ physical distance,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Align seats to face the same direction,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Disinfect classroom surfaces between class sessions (if possible) and in correspondence with the LEA’s operational plan,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Use larger spaces (theater, band, MPR)",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Move classes outdoors whenever possible,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Respect teacher spaces while communicating space needs in classrooms,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Label and safely store furniture, ﬁxtures and equipment corresponding to each classroom",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Maintain uncluttered classrooms to eﬃciently clean and disinfect surfaces,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Communicate physical distancing plan to staﬀ, parents and students",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Track detailed cost for moving of existing furniture and expenses,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Reevaluate functions and use of facilities per social distancing guidelines (larger classes like band to theater or new tent/shade structure),Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Move classes outdoors, weather permitting (PE can expand on ﬁelds)",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Reassign band classroom to another larger class that may need to stay together,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Reestablish protocol to clean instructional materials including musical instruments a\er use,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Use larger spaces for multiple small groups but maintain social distancing and physical separation,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Close gym and use space to store unused furniture and classroom materials safely,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,Determine if and how play structures would be used with corresponding cleaning and disinfecting,Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Close communal spaces and make adjustments per Public Health guidance",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Defer opening of cafeterias or use in staggered shi\s with cleaning and disinfecting between groups",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Place ﬂoor markers to highlight social/physical distancing guidelines (i.e. wait here for food pickup or in front of vending machine)",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Remove chairs that compromise social distancing or maximum density for space",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: nSchedule breakfast or lunch one class at a time with social distancing and may need to move/ separate students with allergies",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Take break rooms and open spaces oﬀ-line or repurpose for another use",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Determine protocol for access to microwaves, refrigerators, equipment in teachers’ room and any other previously shared spaces",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Determine protocol on use of microwaves and water dispensers",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"Cafeteria, lunch rooms, break rooms and open rooms: Provide applicable cleaning",Ops Facilities,Health & Safety / Operations,Facilities,,,,0
LACOE,Actions,"SPED classrooms as biohazard environment: Determine in-depth and special cleaning protocol (li\s, special equipment, toys, etc.)",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,SPED classrooms as biohazard environment Train staﬀ on new protocol,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Child Care: Designate speciﬁc rooms for activities associated with before/a\er school programs and assign a monitor.,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Child Care: Partner with local community centers for available before and a\er-school activities for middle and high school students (i.e. Boys & Girls Club, YMCA, local library, etc.)",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Use of facilities by community and leasing: Determine how to handle requests from community groups per Civic Center Act (PTA, city, groups, etc.); options include a) close use of facilities to groups; b) use of virtual methods and c) oﬀer use in the future",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Use of facilities by community and leasing: Inform community partners, tenants and stakeholders of current determination on handling of Civic Center Act",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Use of facilities by community and leasing: Review Joint Use Agreements and lease to determine rights and obligations,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Use of facilities by community and leasing: Conduct group activities such as assemblies by webcast or making announcements by intercom,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Use of facilities by community and leasing: Review leases with any party and identify rights  and obligations (there may be increased cleaning to,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Perform normal routine cleaning to reopen the area if the workplace or school has been unoccupied for 7 days or more. This is because the virus that causes COVID-19 has not been shown to survive on surfaces longer than this time,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Follow guidelines for cleaning and disinfecting per Center for Disease Control and Public Health,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Recognize diﬀerent methods and best practices for routine cleaning and disinfecting and if someone is sick,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Update cleaning practices and protocols,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Institute clean desk policy to mitigate exposure and maximize cleaning and disinfecting eﬃciencies,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Staﬀ must use applicable personal protective equipment to perform cleaning and disinfecting,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Develop policies for worker protection and provide training to all cleaning staﬀ on site prior to providing cleaning tasks. Training should include when to use PPE, what PPE is necessary, how to properly don (put on), use, and doﬀ (take oﬀ) PPE, and how to properly dispose of PPE",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Determine what needs to be cleaned (classrooms, oﬃces, specialty spaces and outdoor areas) with applicable schedule and consideration to necessary timeline for routine cleaning and/or disinfecting",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Recognize if necessary tools and equipment are available and procure materials that are needed,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Clean and disinfect “high-touch” surfaces such as door handles, rails, counters, tabletops, cash register counters, credit card machines, bathroom ﬁxtures, toilets, trash cans and phones",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Remove high-touch shared tools from classrooms, shared spaces and overall school",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Use an Environmental Protection Agency (EPA)- registered product that cleans (removes germs) and disinfects (kills germs). Always follow the instructions on the labels of cleaning products and disinfectants,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: May use other EPA-approved disinfectants if they are eﬀective against Coronaviruses. Consumers may contact the “1-800” number on the product label for its eﬀectiveness against “COVID-19”,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Update cleaning, disinfecting, sanitizing program and timeline corresponding to needs of the selected instructional method",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Establish expectations for cleaning and disinfecting while staﬀ and students are on campus,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Train staﬀ on the hazards of the cleaning chemicals used in the workplace in accordance with OSHA’s Hazard Communication standard,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Train staﬀ on cleaning and disinfecting protocol for suspected and positive cases,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Wait 24 hours or as long as practical before beginning cleaning and disinfection in a positive case; the space may be reoccupied a\er cleaning,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Provide cleaning and disinfecting materials and supplies where appropriate and necessary,Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Infection control: Place hand sanitizer in strategic locations and inform staﬀ/students of their location (e.g., at the top and bottom of stairs)",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Infection control: Provide no-touch disposal receptacles (trash cans),Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,Consider personal responsibility for designated tasks (i.e. hand-washing then wiping of microwave before use),Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Frequently clean toys in classrooms, drinking fountains, vending machines, playground equipment if used",Ops Facilities,Health & Safety / Operations,Sanitizing & Disinfecting,,,,0
LACOE,Actions,"Consider installation of no-touch equipment whenever feasible (i.e water faucet, soap dispenser, electronic door opening device, foot- operated door opener, etc.)",Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Increase outdoor air ventilation whenever possible,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Open outside doors and windows and use fans to increase air circulation,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Engage vendors needed for labor,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Inspect all building systems,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,"Perform preventive maintenance, remediations and repairs prior to school reopening",Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,"Calibrate heating, ventilating and air conditioning systems",Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Improve central air ﬁltration and change air ﬁlters,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Inspect water systems before physical opening of schools,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Restore water quality in buildings with low or no use for an extended period of time,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,"Verify safety equipment including ﬁre sprinkler systems, eye wash stations and safety showers are clean and well-maintained",Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,Consider opening of swimming pools and locker rooms according to reopening guidance by CDC and Public Health,Ops Facilities,Health & Safety / Operations,Ventilation,,,,0
LACOE,Actions,PPE: Consider that staﬀ and students are to arrive already wearing a cloth face covering to be kept on all day,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Provide PPE for anyone on campus that may need a face covering,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,"Conﬁrm what PPE is needed per group (Nurses, Custodial, Maintenance, Security, Nutrition, Front Oﬃce, Teachers, Administrators, Students, etc.)",Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,"Consider available PPE options including one-time use face masks and washable, cloth face coverings",Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Estimate/procure PPE type and quantity needed,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Seek speciﬁcation or safety data sheet for review and approval prior to purchase of PPE,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Place order with PPE vendors at least four to six weeks in advance of need,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,"Coordinate donations (i.e cloth face coverings) with community groups (PTA, local businesses, etc.)",Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Track detailed costs for PPE,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Train staﬀ and students on appropriate use and disposal for PPE,Ops Facilities,Health & Safety / Operations,PPE,,,,0
LACOE,Actions,Building Security: Re-establish security measures for all schools,Ops Facilities,Health & Safety / Operations,,,,,1
LACOE,Actions,Emergency Preparedness: Update emergency preparedness plan,Ops Facilities,Health & Safety / Operations,,,,,1
LACOE,Actions,Emergency Preparedness: Update school safety plan,Ops Facilities,Health & Safety / Operations,,,,,1
LACOE,Actions,Emergency Preparedness: Update continuity of operations plan,Ops Facilities,Health & Safety / Operations,,,,,1
LACOE,Actions,Emergency Preparedness: Establish pandemic plan,Ops Facilities,Health & Safety / Operations,,,,,1
LACOE,Actions,"Develop and follow protocols for tracking cost and expenditures for possible reimbursements including school meals, personal protective equipment, moving to achieve social distancing in classrooms, setting up alternative classrooms, installing new classrooms, storage units and shade structures (e.g., FEMA)",,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Pre-apply through the Federal Emergency Management Agency (FEMA) Grants Portal and submit a Request for Public Assistance (RPA),,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Educate staﬀ on best practices to support FEMA claim including participation in workshops and tutorials on YouTube videos,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,"Track detailed expenditures (i.e. number of meals provided each day, number of daily workers in the nutrition center)",,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Identify funding sources related to covering costs due to COVID-19,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Track funding utilization,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Be mindful of requirements around instructional minutes,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Fully understand needs and capabilities of students who can continue to learn using distance learning and those students who learn better in a classroom situation,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Review Fiscal Crisis & Management Assistance Team (FCMAT) Alert for Budget Planning,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Engage with labor partners regarding PPE requirements,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Fully understand needs and capabilities of students who can continue to learn using distance learning and those students who learn better in a classroom situation,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Working closely with bargaining units and cabinet is critical to thoroughly understand the impact on student learning,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Assign team to develop protocols,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Track detailed costs and expenditures on a daily basis,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Encourage LEAs to pre-apply for FEMA funding reimbursement,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,SB 117 COVID-19 LEA Response Funds,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,CARES Act Funding,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Continue to advocate for any new funds received to be considered more like “unrestricted” funds,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Any update (still under evaluation by the CDE) to the minutes requirement will be posted here,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Minimum instructional minutes based on grade level,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,"Extension of relaxed minutes beyond June 30, 2020",,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Strong advocacy needed to amend legislation to change apportionment from ADA-based to enrollment-based,,Health & Safety / Operations,,,Finance / Resources,,1
LACOE,Actions,Establish and/or maintain an open and collaborative approach for problem solving with labor partners,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Review any applicable CBA language and any MOUs entered into as a result of COVID-19. Evaluate whether language will be applicable upon reopening sites,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Evaluate practices in place as a result of the current MOU to determine whether to negotiate an extension of certain terms of the MOU, or whether renegotiation is necessary",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Evaluate staﬃng needs based on instructional model implemented and ﬁscal constraints,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"LEAs should work collaboratively with the Board, stakeholder groups and budget committee to develop a plan (Refer to the Budget and Financial Operations Focus Area Considerations for additional information relating to mid-year RIFs)",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Review requests for the use of volunteers to determine whether there is any impact on the work of union members. Engage in negotiations with labor partners as necessary,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Review and revise onboarding procedures as necessary (e.g., maintaining virtual interview processes, completing onboarding documentation electronically)",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Discuss whether the LEA will be screening applicants for COVID-19 aYer conditional oﬀer of employment is made,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Develop a plan in the event of a need to delay an applicant’s start date should the applicant test positive for COVID-19 or display any associated symptoms,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Ensure employees are aware of all leaves available, including HR 6201, FMLA and accrued leaves",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,LEAs should determine whether a phased approach to re-entry is feasible,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Determine if working remotely is feasible for some or all job classiﬁcations,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Review job descriptions (or classiﬁcation speciﬁcations), regular tasks and assignments for each classiﬁcation, and speak with employees to gauge employee workloads and ability for that job classiﬁcation to work remotely based on this information",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Consider placing job classiﬁcations in a tiered system (e.g., job classiﬁcations with duties requiring physical presence at the site [remote work not feasible], job classiﬁcations with duties allowing for a hybrid onsite/remote work arrangement and job classiﬁcations with duties that may all be performed remotely)",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Determine whether it is possible to place employees in a cohort which reports on speciﬁc days, so employees are exposed to the same cohort each time they report to the site (this procedure may assist with contact tracing in the event of a COVID-19 exposure at the site)",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Review eﬀectiveness of remote work arrangements for job classiﬁcations,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Develop or review current Remote Work Agreements and policies with employees to determine whether any modiﬁcations are needed upon implementation of a staggered re-entry to the school site,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,Review Acceptable Use of Technology Policies and determine whether any modiﬁcations are necessary,Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
LACOE,Actions,"Determine whether the LEA is providing supplies to employees to work remotely, or whether the LEA will explore employee reimbursement (Refer to the Operations - Technology Infrastructure Focus Area Considerations for additional information regarding costs and reimbursement)",Ops HR,Health & Safety / Operations,,,HR / Bargaining Units,,1
